deckid,deckname,user,patch_type,archetype,createddate,lastupdatedate,scrapeddate,deltadays_createdlastupdate,deltadays_createdscraped,deltadays_lastupdatedscraped,hero,deck_type,craft_cost,cards,nbr_cards,count_positiverating,count_negativerating,count_totalrating,url,count_cards_mana0,count_cards_mana1,count_cards_mana2,count_cards_mana3,count_cards_mana4,count_cards_mana5,count_cards_mana6,count_cards_mana7+,format,count_minions,count_spells,count_weapons,is_gooddeck
1251174.0,New Patron Warrior,LegacYFalmIR,Level Up Nerf,Patron Warrior,2019-04-05 00:00:00.000000,2019-04-05 00:00:00.000000,2019-11-23 20:03:33.449872,0.0,232,232,warrior,Ranked Deck,8060.0,"[69, 69, 161, 297, 328, 493, 644, 664, 664, 14435, 14435, 33166, 35209, 61815, 62853, 62898, 62927, 89344, 89369, 89374, 89930, 90211, 90558, 90558, 90575, 90623, 90634, 90634, 90659, 90659]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/1251174,0.0,4.0,6.0,6.0,4.0,4.0,0,6.0,Wild,15.0,12.0,2.0,1
916650.0,Renounce Darkness Demonlock,MDroogie,Frozen Throne,Control Warlock,2017-08-24 00:00:00.000000,2017-08-23 00:00:00.000000,2019-11-21 14:02:28.453206,-1.0,819,820,warlock,Ranked Deck,11840.0,"[43, 122, 122, 131, 131, 340, 340, 525, 573, 573, 602, 647, 647, 33136, 33136, 33168, 49646, 49646, 49691, 49691, 55451, 62840, 62840, 62883, 62903, 62903, 62922, 62928, 62928, 62934]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/916650,0.0,5.0,7.0,2.0,2.0,4.0,5,5.0,Wild,16.0,13.0,0.0,1
335523.0,"S18 - Cheap ""Heal"" Priest",ShadowScalibur,TGT Launch,Unknown,2015-09-21 00:00:00.000000,2015-09-21 00:00:00.000000,2019-11-18 07:00:17.263824,0.0,1519,1519,priest,Ranked Deck,2900.0,"[38, 38, 232, 232, 280, 280, 315, 315, 401, 409, 409, 431, 431, 457, 547, 600, 600, 602, 12174, 12174, 12191, 12191, 12197, 12197, 12227, 12301, 22287, 22287, 22290, 22290]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/335523,2.0,6.0,4.0,3.0,6.0,4.0,4,1.0,Wild,16.0,14.0,0.0,1
1002951.0,i am the hemet of magic,nuffkins,Kobolds Patch,Malygos Druid,2017-12-14 00:00:00.000000,2017-12-16 00:00:00.000000,2019-11-22 01:13:52.851358,2.0,708,706,druid,Ranked Deck,12720.0,"[120, 241, 282, 282, 450, 619, 619, 620, 620, 633, 633, 22325, 22329, 22329, 22383, 35210, 35210, 49628, 49703, 49703, 55508, 62841, 62841, 62879, 62879, 62904, 76870, 76870, 76947, 76972]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/1002951,2.0,2.0,4.0,6.0,4.0,3.0,3,6.0,Wild,7.0,22.0,0.0,1
1273611.0,Basic Warlock Baron Geddon,IgorDS1989,Rise of Shadows,Zoolock,2019-04-30 00:00:00.000000,2019-04-30 00:00:00.000000,2019-11-23 23:14:03.632831,0.0,207,207,warlock,PvE Adventure,0.0,"[36, 36, 43, 43, 47, 47, 84, 84, 208, 208, 310, 310, 332, 332, 340, 340, 356, 356, 357, 357, 410, 410, 434, 434, 472, 472, 604, 604, 647, 647]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/1273611,0.0,8.0,4.0,8.0,2.0,4.0,2,2.0,Standard,24.0,6.0,0.0,1
805425.0,zoo,Jking,Un'Goro Launch,Zoolock,2017-04-12 00:00:00.000000,2017-04-12 00:00:00.000000,2019-11-20 23:30:13.382810,0.0,952,952,warlock,Tournament,1260.0,"[74, 74, 85, 85, 174, 174, 305, 305, 340, 340, 422, 422, 473, 473, 507, 507, 529, 529, 542, 542, 560, 577, 577, 33171, 33171, 35217, 35224, 35224, 55510, 55510]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/805425,1.0,12.0,6.0,4.0,4.0,2.0,1,0.0,Wild,27.0,3.0,0.0,1
479242.0,WoG - Midrange Shaman,Spiritmong3r,Explorers,Unknown,2016-04-21 00:00:00.000000,2016-04-21 00:00:00.000000,2019-11-19 08:57:37.942242,0.0,1307,1307,shaman,Ranked Deck,3820.0,"[77, 214, 270, 270, 280, 280, 636, 636, 676, 676, 14440, 14440, 22265, 22265, 22270, 22270, 22319, 27246, 27246, 33131, 33159, 33159, 33160, 33160, 35226, 35226, 35231, 35231, 35232, 35232]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/479242,0.0,5.0,7.0,7.0,4.0,3.0,4,0.0,Wild,19.0,11.0,0.0,1
645868.0,Tespa Week 1 Deck 3,Firestarter213,Yogg Nerf,Control Warrior,2016-10-04 00:00:00.000000,2016-10-04 00:00:00.000000,2019-11-20 04:17:25.832894,0.0,1142,1142,warrior,Ranked Deck,11000.0,"[33, 50, 50, 215, 215, 227, 227, 280, 280, 297, 297, 493, 493, 498, 632, 632, 14447, 14447, 22276, 22333, 22333, 22351, 22351, 22353, 33134, 33161, 33161, 35205, 42029, 42029]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/645868,0.0,2.0,8.0,4.0,3.0,6.0,5,2.0,Wild,18.0,10.0,2.0,1
1299950.0,Test 123,user-100052937,Saviors of Uldum,Highlander Warlock,2019-08-08 00:00:00.000000,2019-08-08 00:00:00.000000,2019-11-24 02:26:21.331947,0.0,108,108,warlock,Ranked Deck,11640.0,"[43, 74, 122, 327, 398, 467, 557, 573, 647, 7733, 12252, 12294, 12299, 14443, 14463, 27214, 27228, 49622, 49646, 55529, 62840, 62903, 62934, 76913, 76925, 76926, 89359, 90621, 90723, 90825]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/1299950,0.0,3.0,7.0,7.0,4.0,1.0,2,6.0,Wild,20.0,9.0,0.0,1
1039091.0,Armor Warrior,HydraWitcher,Patches Nerf,Taunt Warrior,2018-02-17 00:00:00.000000,2018-02-16 00:00:00.000000,2019-11-22 05:12:52.997524,-1.0,643,644,warrior,Ranked Deck,8400.0,"[50, 50, 161, 161, 215, 227, 227, 297, 428, 428, 493, 493, 664, 49746, 49746, 55501, 55517, 55517, 55529, 55529, 61815, 61815, 62842, 62883, 62927, 76929, 76935, 76935, 76944, 76944]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/1039091,0.0,4.0,11.0,6.0,2.0,1.0,3,3.0,Wild,11.0,16.0,2.0,1
